id,en,ru,uk
"4","Afghanistan","Афганистан","Афганістан"
"8","Albania","Албания","Албанія"
"12","Algeria","Алжир","Алжир"
"20","Andorra","Андорра","Андорра"
"24","Angola","Ангола","Ангола"
"28","Antigua and Barbuda","Антигуа и Барбуда","Антигуа і Барбуда"
"32","Argentina","Аргентина","Аргентина"
"51","Armenia","Армения","Вірменія"
"36","Australia","Австралия","Австралія"
"40","Austria","Австрия","Австрія"
"31","Azerbaijan","Азербайджан","Азербайджан"
"44","Bahamas","Багамские Острова","Багамські Острови"
"48","Bahrain","Бахрейн","Бахрейн"
"50","Bangladesh","Бангладеш","Бангладеш"
"52","Barbados","Барбадос","Барбадос"
"112","Belarus","Беларусь","Білорусь"
"56","Belgium","Бельгия","Бельгія"
"84","Belize","Белиз","Беліз"
"204","Benin","Бенин","Бенін"
"64","Bhutan","Бутан","Бутан"
"68","Bolivia, Plurinational State of","Боливия","Болівія"
"70","Bosnia and Herzegovina","Босния и Герцеговина","Боснія і Герцеговина"
"72","Botswana","Ботсвана","Ботсвана"
"76","Brazil","Бразилия","Бразилія"
"96","Brunei Darussalam","Бруней","Бруней"
"100","Bulgaria","Болгария","Болгарія"
"854","Burkina Faso","Буркина-Фасо","Буркіна-Фасо"
"108","Burundi","Бурунди","Бурунді"
"116","Cambodia","Камбоджа","Камбоджа"
"120","Cameroon","Камерун","Камерун"
"124","Canada","Канада","Канада"
"132","Cabo Verde","Кабо-Верде","Кабо-Верде"
"140","Central African Republic","ЦАР","Центральноафриканська Республіка"
"148","Chad","Чад","Чад"
"152","Chile","Чили","Чилі"
"156","China","Китай (КНР)","Китайська Народна Республіка"
"170","Colombia","Колумбия","Колумбія"
"174","Comoros","Коморы","Коморські Острови"
"178","Congo","Республика Конго","Республіка Конго"
"180","Congo, Democratic Republic of the","ДР Конго","ДР Конго"
"188","Costa Rica","Коста-Рика","Коста-Рика"
"384","Côte d'Ivoire","Кот-д’Ивуар","Кот-д'Івуар"
"191","Croatia","Хорватия","Хорватія"
"192","Cuba","Куба","Куба"
"196","Cyprus","Кипр","Кіпр"
"203","Czechia","Чехия","Чехія"
"208","Denmark","Дания","Данія"
"262","Djibouti","Джибути","Джибуті"
"212","Dominica","Доминика","Домініка"
"214","Dominican Republic","Доминиканская Республика","Домініканська Республіка"
"218","Ecuador","Эквадор","Еквадор"
"818","Egypt","Египет","Єгипет"
"222","El Salvador","Сальвадор","Сальвадор"
"226","Equatorial Guinea","Экваториальная Гвинея","Екваторіальна Гвінея"
"232","Eritrea","Эритрея","Еритрея"
"233","Estonia","Эстония","Естонія"
"231","Ethiopia","Эфиопия","Ефіопія"
"242","Fiji","Фиджи","Фіджі"
"246","Finland","Финляндия","Фінляндія"
"250","France","Франция","Франція"
"266","Gabon","Габон","Габон"
"270","Gambia","Гамбия","Гамбія"
"268","Georgia","Грузия","Грузія"
"276","Germany","Германия","Німеччина"
"288","Ghana","Гана","Гана"
"300","Greece","Греция","Греція"
"308","Grenada","Гренада","Гренада"
"320","Guatemala","Гватемала","Гватемала"
"324","Guinea","Гвинея","Гвінея"
"624","Guinea-Bissau","Гвинея-Бисау","Гвінея-Бісау"
"328","Guyana","Гайана","Гаяна"
"332","Haiti","Гаити","Гаїті"
"340","Honduras","Гондурас","Гондурас"
"348","Hungary","Венгрия","Угорщина"
"352","Iceland","Исландия","Ісландія"
"356","India","Индия","Індія"
"360","Indonesia","Индонезия","Індонезія"
"364","Iran, Islamic Republic of","Иран","Іран"
"368","Iraq","Ирак","Ірак"
"372","Ireland","Ирландия","Ірландія"
"376","Israel","Израиль","Ізраїль"
"380","Italy","Италия","Італія"
"388","Jamaica","Ямайка","Ямайка"
"392","Japan","Япония","Японія"
"400","Jordan","Иордания","Йорданія"
"398","Kazakhstan","Казахстан","Казахстан"
"404","Kenya","Кения","Кенія"
"296","Kiribati","Кирибати","Кірибаті"
"408","Korea, North(DPRK)","Северная Корея(КНДР)","Північна Корея"
"410","Korea, South ","Южная Корея(Республика Корея)","Південна Корея"
"414","Kuwait","Кувейт","Кувейт"
"417","Kyrgyzstan","Кыргызстан","Киргизстан"
"418","Lao People's Democratic Republic","Лаос","Лаос"
"428","Latvia","Латвия","Латвія"
"422","Lebanon","Ливан","Ліван"
"426","Lesotho","Лесото","Лесото"
"430","Liberia","Либерия","Ліберія"
"434","Libya","Ливия","Лівія"
"438","Liechtenstein","Лихтенштейн","Ліхтенштейн"
"440","Lithuania","Литва","Литва"
"442","Luxembourg","Люксембург","Люксембург"
"807","North Macedonia","Северная Македония","Північна Македонія"
"450","Madagascar","Мадагаскар","Мадагаскар"
"454","Malawi","Малави","Малаві"
"458","Malaysia","Малайзия","Малайзія"
"462","Maldives","Мальдивы","Мальдіви"
"466","Mali","Мали","Малі"
"470","Malta","Мальта","Мальта"
"584","Marshall Islands","Маршалловы Острова","Маршаллові Острови"
"478","Mauritania","Мавритания","Мавританія"
"480","Mauritius","Маврикий","Маврикій"
"484","Mexico","Мексика","Мексика"
"583","Micronesia, Federated States of","Микронезия","Федеративні Штати Мікронезії"
"504","Morocco","Марокко","Марокко"
"498","Moldova, Republic of","Молдавия","Молдова"
"492","Monaco","Монако","Монако"
"496","Mongolia","Монголия","Монголія"
"499","Montenegro","Черногория","Чорногорія"
"508","Mozambique","Мозамбик","Мозамбік"
"104","Myanmar","Мьянма","М'янма"
"516","Namibia","Намибия","Намібія"
"520","Nauru","Науру","Науру"
"524","Nepal","Непал","Непал"
"528","Netherlands","Нидерланды","Нідерланди"
"554","New Zealand","Новая Зеландия","Нова Зеландія"
"558","Nicaragua","Никарагуа","Нікарагуа"
"562","Niger","Нигер","Нігер"
"566","Nigeria","Нигерия","Нігерія"
"578","Norway","Норвегия","Норвегія"
"512","Oman","Оман","Оман"
"586","Pakistan","Пакистан","Пакистан"
"585","Palau","Палау","Палау"
"591","Panama","Панама","Панама"
"598","Papua New Guinea","Папуа — Новая Гвинея","Папуа Нова Гвінея"
"600","Paraguay","Парагвай","Парагвай"
"604","Peru","Перу","Перу"
"608","Philippines","Филиппины","Філіппіни"
"616","Poland","Польша","Польща"
"620","Portugal","Португалия","Португалія"
"634","Qatar","Катар","Катар"
"642","Romania","Румыния","Румунія"
"643","Russian Federation","Россия","Росія"
"646","Rwanda","Руанда","Руанда"
"659","Saint Kitts and Nevis","Сент-Китс и Невис","Сент-Кіттс і Невіс"
"662","Saint Lucia","Сент-Люсия","Сент-Люсія"
"670","Saint Vincent and the Grenadines","Сент-Винсент и Гренадины","Сент-Вінсент і Гренадини"
"882","Samoa","Самоа","Самоа"
"674","San Marino","Сан-Марино","Сан-Марино"
"678","Sao Tome and Principe","Сан-Томе и Принсипи","Сан-Томе і Принсіпі"
"682","Saudi Arabia","Саудовская Аравия","Саудівська Аравія"
"686","Senegal","Сенегал","Сенегал"
"688","Serbia","Сербия","Сербія"
"690","Seychelles","Сейшельские Острова","Сейшельські Острови"
"694","Sierra Leone","Сьерра-Леоне","Сьєрра-Леоне"
"702","Singapore","Сингапур","Сінгапур"
"703","Slovakia","Словакия","Словаччина"
"705","Slovenia","Словения","Словенія"
"90","Solomon Islands","Соломоновы Острова","Соломонові Острови"
"706","Somalia","Сомали","Сомалі"
"710","South Africa","ЮАР","ПАР"
"728","South Sudan","Южный Судан","Південний Судан"
"724","Spain","Испания","Іспанія"
"144","Sri Lanka","Шри-Ланка","Шрі-Ланка"
"729","Sudan","Судан","Судан"
"740","Suriname","Суринам","Суринам"
"748","Eswatini","Эсватини","Есватіні"
"752","Sweden","Швеция","Швеція"
"756","Switzerland","Швейцария","Швейцарія"
"760","Syrian Arab Republic","Сирия","Сирія"
"762","Tajikistan","Таджикистан","Таджикистан"
"834","Tanzania, United Republic of","Танзания","Танзанія"
"764","Thailand","Таиланд","Таїланд"
"626","Timor-Leste","Восточный Тимор","Східний Тимор"
"768","Togo","Того","Того"
"776","Tonga","Тонга","Тонга"
"780","Trinidad and Tobago","Тринидад и Тобаго","Тринідад і Тобаго"
"788","Tunisia","Тунис","Туніс"
"792","Türkiye","Турция","Туреччина"
"795","Turkmenistan","Туркменистан","Туркменістан"
"798","Tuvalu","Тувалу","Тувалу"
"800","Uganda","Уганда","Уганда"
"804","Ukraine","Украина","Україна"
"784","United Arab Emirates","ОАЭ","ОАЕ"
"826","United Kingdom of Great Britain and Northern Ireland","Великобритания","Велика Британія"
"840","United States of America","США","США"
"858","Uruguay","Уругвай","Уругвай"
"860","Uzbekistan","Узбекистан","Узбекистан"
"548","Vanuatu","Вануату","Вануату"
"862","Venezuela, Bolivarian Republic of","Венесуэла","Венесуела"
"704","Viet Nam","Вьетнам","В'єтнам"
"887","Yemen","Йемен","Ємен"
"894","Zambia","Замбия","Замбія"
"716","Zimbabwe","Зимбабве","Зімбабве"
